
2024/08/20 (21:50:48) | ===> btop++ v.1.3.2
2024/08/20 (21:50:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/08/20 (21:50:52) | WARNING: get_cpuHZ() : Failed to read /sys/devices/system/cpu/cpufreq/policy and /proc/cpuinfo.

2024/08/20 (22:15:17) | ===> btop++ v.1.3.2
2024/08/20 (22:15:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/20 (22:19:14) | ===> btop++ v.1.3.2
2024/08/20 (22:19:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/08/20 (22:19:18) | WARNING: get_cpuHZ() : Failed to read /sys/devices/system/cpu/cpufreq/policy and /proc/cpuinfo.

2024/08/20 (22:20:32) | ===> btop++ v.1.3.2
2024/08/20 (22:20:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/08/20 (22:20:36) | WARNING: get_cpuHZ() : Failed to read /sys/devices/system/cpu/cpufreq/policy and /proc/cpuinfo.
